Bedroom,Bathroom,Area,Furnish,Floor,Price
1,1,30.50,Yes,24,6500000
1,1,44.00,Yes,22,6200000
1,1,34.00,Yes,15,6800000
1,1,31.00,Yes,14,4490000
1,1,29.00,Yes,16,4150000
3,2,120.00,Yes,5,13500000
3,4,265.00,Yes,11,20000000
2,2,90.00,Yes,8,13900000
1,1,35.00,Yes,6,4750000
2,2,81.63,Yes,7,16200000
2,1,68.00,Yes,14,9600000
1,1,44.00,Yes,19,6790000
1,1,45.73,Yes,24,7000000
1,1,41.17,Yes,16,6270000
1,1,45.00,Yes,35,8500000
1,1,49.21,Yes,2,5590000
1,1,55.00,Yes,9,7000000
2,1,81.98,Yes,11,7500000
2,2,62.00,Yes,23,10700000
2,2,67.00,Yes,4,7590000
1,1,34.00,Yes,30,3990000
2,1,49.00,Yes,14,3200000
1,1,32.00,Yes,7,4200000
2,3,114.00,Yes,28,23000000
2,1,69.00,Yes,9,10700000
2,2,96.15,Yes,33,8500000
1,1,41.00,Yes,5,4300000
1,1,35.00,Yes,17,6100000
2,1,45.35,Yes,17,5990000
1,1,72.00,Yes,7,2500000
1,1,30.00,Yes,29,3490000
2,1,49.00,Yes,16,3200000
1,1,35.00,Yes,6,5000000
1,1,40.00,Yes,2,3850000
1,1,32.00,Yes,36,4500000
2,2,80.00,Yes,8,11900000
2,2,55.02,Yes,22,11000000
2,2,52.00,Yes,12,6990000
2,2,120.00,Yes,43,10500000
1,1,40.00,Yes,9,3850000
2,2,75.71,Yes,5,7300000
2,2,64.00,Yes,6,8500000
1,1,35.00,Yes,10,7200000
1,1,60.80,Yes,15,3900000
3,4,183.00,Yes,3,20000000
1,1,40.15,Yes,7,4000000
1,1,30.00,Yes,29,3300000
2,2,110.00,Yes,29,18300000
2,2,88.88,Yes,12,22557000
1,1,49.00,Yes,26,6900000
2,2,111.00,Yes,9,7500000
1,1,45.00,Yes,8,4600000
1,1,27.01,Yes,4,1900000
1,1,38.50,Yes,6,7000000
1,1,45.40,Yes,22,6900000
1,1,73.50,Yes,8,7500000
1,1,34.81,Yes,5,5950000
2,2,72.00,Yes,2,9500000
2,1,55.00,Yes,26,14600000
1,1,35.00,Yes,19,5300000
2,2,75.00,Yes,10,15900000
2,2,101.13,Yes,13,13000000
1,1,65.00,Yes,6,4200000
2,1,38.60,Yes,38,7200000
2,2,61.00,Yes,27,6800000
1,1,30.18,Yes,23,2890000
2,2,85.90,Yes,36,10250000
2,2,55.00,Yes,19,12980000
1,1,32.00,Yes,32,8690000
1,1,34.00,Yes,9,5200000
1,1,35.00,Yes,12,3900000
1,1,59.30,Yes,7,4690000
1,1,43.00,Yes,17,8250000
2,2,71.19,Yes,8,10200000
1,1,52.00,Yes,16,6950000
2,2,61.00,Yes,22,8100000
2,2,93.00,Yes,15,16000000
2,1,48.00,Yes,7,5200000
2,2,54.00,Yes,15,11400000
1,1,34.00,Yes,24,5200000
0,1,22.00,No,3,1950000
1,1,30.54,No,6,1850000
1,1,33.00,No,2,2900000
1,1,27.00,No,5,2790000
1,1,24.00,No,2,1628000
1,1,30.00,No,2,1550000
0,1,28.00,No,4,1100000
2,2,75.00,No,7,2999000
1,1,30.23,No,7,2050000
2,2,59.42,Yes,8,4780000
1,1,41.17,Yes,6,1799000
1,1,21.58,No,6,750000
1,1,21.00,Yes,4,799174
1,1,21.00,Yes,6,748985
2,2,43.00,No,1,1797673
1,1,26.00,No,1,1248528
0,1,22.00,Yes,3,1949493
1,1,24.00,Yes,2,1627249
2,2,59.00,Yes,8,4778022
2,2,75.00,Yes,7,2998402
1,1,35.00,No,6,1849628
1,1,33.00,Yes,5,2489482
1,1,28.00,Yes,2,745000
1,1,21.50,Yes,7,890000
2,2,71.97,Yes,5,2400000
1,1,29.93,No,7,1500000
1,1,25.00,No,4,1900000
2,2,44.00,No,6,2100000
1,1,30.00,Yes,8,1500000
1,1,21.65,Yes,6,1500000
1,1,21.50,No,2,800000
1,1,21.58,Yes,6,750000
0,1,27.73,No,2,190000
1,1,22.00,Yes,3,870000
1,1,30.00,Yes,4,1600000
1,1,30.00,Yes,6,1800000
1,1,44.00,Yes,8,2600000
1,1,26.00,Yes,5,950000
0,1,22.00,Yes,3,850000
1,2,38.00,Yes,6,2000000
1,1,22.00,Yes,8,790000
0,1,22.00,Yes,8,790000
2,2,67.00,Yes,3,6300000
2,2,43.00,No,5,1800000
1,1,33.00,Yes,1,2300000
0,1,22.00,Yes,8,739000
1,1,46.00,No,4,1500000
1,1,27.00,Yes,8,1600000
1,1,28.00,Yes,5,990000
1,1,33.00,No,2,550000
1,1,35.00,Yes,3,1500000
1,1,21.00,No,1,920000
1,1,30.00,Yes,7,1500000
1,1,28.00,Yes,4,850000
1,1,30.00,Yes,29,4500000
0,1,30.00,Yes,8,1500000
1,1,28.00,Yes,6,2100000
1,1,22.00,No,6,899000
1,1,25.00,Yes,3,1500000
1,1,30.00,Yes,4,1500000
1,1,28.00,Yes,1,2400000
1,1,28.00,Yes,1,2300000
1,1,27.00,No,6,1500000
1,1,29.00,Yes,3,1100000
1,1,22.00,No,7,850000
1,1,30.00,No,1,1500000
1,1,30.00,No,4,1900000
1,1,25.00,No,5,1900000
1,1,29.00,Yes,3,820000
1,1,28.00,Yes,3,2900000
1,1,32.90,Yes,7,3590000
1,1,25.00,Yes,5,2350000
1,1,45.00,Yes,1,2400000
1,1,27.29,Yes,7,2190000
1,1,29.06,Yes,1,2300000
1,1,31.52,Yes,26,3500000
1,1,27.96,Yes,4,2090000
1,1,37.70,Yes,2,2095000
1,1,35.00,Yes,8,3500000
1,1,27.50,Yes,8,2170000
1,1,22.00,No,3,1950000
1,1,28.00,No,4,1100000
1,1,33.26,Yes,5,2490000
1,1,24.92,Yes,7,2500000
1,1,21.61,Yes,4,800000
1,1,28.27,No,5,1450000
1,1,28.45,No,3,980000
1,1,35.77,Yes,5,1790000
1,1,22.52,No,7,1050000
1,1,27.78,Yes,2,1620000
1,1,23.12,No,2,750000
1,1,28.00,Yes,5,1150000
1,1,31.77,Yes,5,370000
1,1,35.53,Yes,1,480000
1,1,26.11,Yes,2,1190000
2,1,43.80,Yes,2,1550000
1,1,28.03,Yes,1,1090000
2,1,72.00,Yes,7,1690000
1,1,33.00,Yes,2,2900000
1,1,22.52,Yes,7,1050000
1,1,35.73,Yes,5,1890000
1,1,30.23,Yes,7,2050000
1,1,35.26,Yes,4,1550000
2,1,66.00,Yes,3,6300000
1,1,27.00,Yes,7,1650000
1,1,31.00,No,4,529000
1,1,28.82,Yes,7,850000
1,1,28.00,Yes,7,1250000
1,1,21.50,No,8,990000
1,1,23.75,Yes,4,1850000
1,1,28.83,Yes,8,1350000
0,1,28.27,Yes,2,1190000
1,1,34.59,Yes,7,1200000
1,1,21.50,Yes,6,750000
1,2,26.50,Yes,3,122700
1,1,28.00,Yes,5,1250000
1,1,28.00,Yes,3,700000
2,2,139.00,Yes,17,29000000
2,2,92.00,Yes,15,19000000
2,2,78.00,Yes,32,16250000
